Date,MMM,AOS,ABT,ABBV,ACN,ADBE,AMD,AES,AFL,A,APD,ABNB,AKAM,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL
2000-01-03,19.516698837280273,2.277505397796631,8.170226097106934,,,16.274677276611328,15.5,23.707536697387695,6.739863872528076,43.19990158081055,16.68032455444336,,321.25,5.944370746612549,12.49362564086914,,,4.600562572479248,12.650890350341797,
2000-01-04,18.741195678710938,2.244687557220459,7.9367899894714355,,,14.909398078918457,14.625,22.76741600036621,6.561011791229248,39.89989471435547,16.171974182128906,,300.0,5.944370746612549,12.218769073486328,,,4.600562572479248,12.247136116027832,
2000-01-05,19.284046173095703,2.2381253242492676,7.922198295593262,,,15.204174995422363,15.0,23.012664794921875,6.523365497589111,37.42490768432617,16.26728630065918,,283.5,6.047573089599609,11.993879318237305,,,4.825762748718262,12.785475730895996,
2000-01-06,20.83504295349121,2.2053074836730957,8.199403762817383,,,15.328291893005371,16.0,23.196596145629883,6.655147552490234,35.99989700317383,17.347536087036133,,236.125,6.253976821899414,11.768993377685547,,,4.825762748718262,12.718174934387207,
2000-01-07,21.248626708984375,2.2971959114074707,8.286942481994629,,,16.072982788085938,16.25,23.6462345123291,6.786931037902832,38.9998893737793,18.554868698120117,,248.375,6.150776386260986,11.993879318237305,,,4.890105724334717,13.189227104187012,
2000-01-10,21.14522933959961,2.32344913482666,8.228580474853516,,,16.693567276000977,17.5,24.70897674560547,6.382162094116211,41.362388610839844,17.411073684692383,,285.5,6.130134105682373,12.143798828125,,,4.900829792022705,12.8864107131958,
2000-01-11,20.7833251953125,2.2971959114074707,8.111863136291504,,,15.545493125915527,17.25,24.831605911254883,6.250377655029297,40.799903869628906,16.616783142089844,,278.4375,6.109494686126709,12.16878604888916,,,4.890105724334717,12.852766036987305,
2000-01-12,20.83504295349121,2.2184345722198486,7.9904680252075195,,,15.467920303344727,18.125,25.342544555664062,6.146831035614014,39.97491455078125,16.902721405029297,,254.0,6.150776386260986,11.993879318237305,,,4.9437255859375,12.92005729675293,
2000-01-13,20.83504295349121,2.251250743865967,7.917160511016846,,,16.29018211364746,18.875,25.771732330322266,6.28803014755249,40.574893951416016,16.77564239501953,,232.8125,6.23333740234375,12.043854713439941,,,4.986622333526611,13.357457160949707,
2000-01-14,20.537757873535156,2.2971959114074707,8.093095779418945,,,16.460845947265625,20.1875,27.22280502319336,6.466881275177002,41.0249137878418,16.457921981811523,,230.0,6.109494686126709,12.11882209777832,,,4.922277450561523,13.02099895477295,
2000-01-18,20.085386276245117,2.264378070831299,7.917160511016846,,,15.886809349060059,19.5,25.485599517822266,6.0244598388671875,42.89989471435547,15.663616180419922,,211.5,5.985654354095459,12.143798828125,,,4.890105724334717,12.953702926635742,
2000-01-19,20.434362411499023,2.303757905960083,7.755882740020752,,,15.669609069824219,19.59375,25.62866973876953,5.666755676269531,41.99989318847656,15.695390701293945,,224.75,6.006296157836914,12.093826293945312,,,4.933000564575195,12.68453598022461,
2000-01-20,19.671785354614258,2.264378070831299,7.521303653717041,,,15.840269088745117,19.5,25.40385627746582,6.128004550933838,40.874900817871094,15.187036514282227,,234.0,5.923736095428467,12.093826293945312,,,5.126032829284668,12.785475730895996,
2000-01-21,19.633018493652344,2.3431386947631836,7.316044807434082,,,15.607550621032715,18.9375,26.160049438476562,5.836197853088379,41.249908447265625,14.710460662841797,,269.0,6.006296157836914,12.043854713439941,,,5.737297534942627,12.650890350341797,
2000-01-24,19.180639266967773,2.36283016204834,7.037478446960449,,,15.033514976501465,17.25,26.160049438476562,5.770303249359131,41.099876403808594,15.345895767211914,,262.0625,5.9030914306640625,11.993879318237305,,,5.941051483154297,12.280783653259277,
2000-01-25,18.896286010742188,2.244687557220459,6.949509143829346,,,15.63857650756836,20.0,24.852041244506836,6.015048503875732,40.61241149902344,15.790706634521484,,279.3125,5.655411243438721,11.96889591217041,,,5.3619585037231445,12.31442928314209,
2000-01-26,19.9173641204834,2.1987435817718506,6.964169502258301,,,15.188658714294434,18.5,23.687105178833008,6.316270351409912,40.987388610839844,16.013103485107422,,277.5,5.861811637878418,11.868946075439453,,,5.243997097015381,12.482662200927734,
2000-01-27,19.90443992614746,2.145406484603882,7.228073596954346,,,15.561006546020508,18.46875,24.811172485351562,6.203310966491699,41.06239700317383,15.695390701293945,,281.125,5.965014457702637,12.018864631652832,,,5.211287975311279,12.482662200927734,
2000-01-28,19.077247619628906,2.099196672439575,7.47731876373291,,,14.28882122039795,17.625,24.974666595458984,6.325681209564209,40.8374137878418,15.15527057647705,,270.0625,5.820535182952881,11.818967819213867,,,5.1785807609558105,12.280783653259277,
2000-01-31,19.361587524414062,2.085995674133301,7.638595104217529,,,13.668242454528809,18.0,26.20092010498047,6.542187213897705,39.71240997314453,15.059947967529297,,249.125,5.965014457702637,11.793980598449707,,,5.2003889083862305,12.482662200927734,
2000-02-01,19.464981079101562,2.052988290786743,7.711904525756836,,,13.8699312210083,18.28125,26.405290603637695,6.6739726066589355,42.59988784790039,15.568306922912598,,239.0625,5.799890518188477,11.893933296203613,,,5.2003889083862305,12.415364265441895,
2000-02-02,19.128942489624023,2.0727922916412354,7.755882740020752,,,15.219686508178711,18.03125,25.93523406982422,6.683387279510498,45.89989471435547,15.441216468811035,,233.625,5.820535182952881,11.918915748596191,,,5.036851406097412,12.54995346069336,
